của	of
quan tâm	interest
tử vong	death
khóa học	course
người nào	someone
kinh nghiệm	experience
phía sau	behind
chạm tới	reach
địa phương	local
giết chết	kill
sáu	six
vẫn còn	remain
hiệu ứng	effect
sử dụng	use
yeah	yeah
đề nghị	suggest
lớp học	class
điều khiển	control
nâng cao	raise
quan tâm	care
có lẽ	perhaps
ít	little
muộn	late
cứng	hard
cánh đồng	field
khác	else
vượt qua	pass
trước đây	former
bán	sell
chính	major
đôi khi	sometimes
yêu cầu	require
dọc theo	along
phát triển	development
bản thân họ	themselves
bài báo cáo	report
vai trò	role
tốt hơn	better
thuộc kinh tế	economic
cố gắng	effort
lên	up
quyết định	decide
tỷ lệ	rate
mạnh	strong
khả thi	possible
tim	heart
thuốc uống	drug
chỉ	show
lãnh đạo	leader
ánh sáng	light
tiếng nói	voice
người vợ	wife
toàn thể	whole
cảnh sát	police
lí trí	mind
cuối cùng	finally
kéo	pull
trở về	return
miễn phí	free
quân đội	military
giá bán	price
bài báo cáo	report
ít hơn	less
theo	according
phán quyết	decision
giải thích	explain
Con trai	son
mong	hope
cũng	even
phát triển	develop
xây dựng	develop
lượt xem	view
mối quan hệ	relationship
mang	carry
thị trấn	town
đường	road
lái xe	drive
cánh tay	arm
THẬT	TRUE
liên bang	federal
phá vỡ	break
tốt hơn	better
Sự khác biệt	difference
cảm tạ	thank
nhận được	receive
giá trị	value
quốc tế	international
Tòa nhà	building
hoạt động	action
đầy	full
mô hình	model
tham gia	join
Mùa	season
xã hội	society
bởi vì	because
Thuế	tax
giám đốc	director
sớm	early
Chức vụ	position
người chơi	player
đồng ý	agree
đặc biệt	especially
ghi lại	record
chọn	pick
mặc	wear
giấy	paper
đặc biệt	special
không gian	space
đất	ground
hình thức	form
ủng hộ	support
biến cố	event
chính thức	official
có	whose
vấn đề	matter
tất cả mọi người	everyone
Trung tâm	center
vợ chồng	couple
địa điểm	site
kết thúc	end
dự án	project
đánh	hit
căn cứ	base
Hoạt động	activity
ngôi sao	star
bàn	table
nhu cầu	need
tòa án	court
sản xuất	produce
ăn	eat
Người Mỹ	American
dạy	teach
dầu	oil
một nửa	half
tình hình	situation
dễ dàng	easy
Giá cả	cost
ngành công nghiệp	industry
nhân vật	figure
đối mặt	face
đường phố	street
hình ảnh	image
chính no	itself
điện thoại	phone
hoặc	either
dữ liệu	data
che	cover
khá	quite
hình ảnh	picture
trong sáng	clear
thực hành	practice
cái	piece
đất đai	land
gần đây	recent
miêu tả	describe
sản phẩm	product
Bác sĩ	doctor
Tường	wall
bệnh nhân	patient
công nhân	worker
Tin tức	news
thử nghiệm	test
bộ phim	movie
chắc chắn	certain
Bắc	north
yêu	love
cá nhân	personal
mở	open
ủng hộ	support
đơn giản	simply
thứ ba	third
Công nghệ	technology
bắt lấy	catch
bậc thang	step
đứa bé	baby
máy vi tính	computer
kiểu	type
chú ý	attention
vẽ tranh	draw
phim ảnh	film
Đảng Cộng hòa	Republican
cây	tree
nguồn	source
đỏ	red
Gần	nearly
cơ quan	organization
chọn	choose
nguyên nhân	cause
tóc	hair
nhìn	look
điểm	point
thế kỷ	century
chứng cớ	evidence
cửa sổ	window
khó khăn	difficult
nghe	listen
Sớm	soon
nền văn hóa	culture
tỷ	billion
cơ hội	chance
em trai	brother
năng lượng	energy
giai đoạn	period
khóa học	course
mùa hè	summer
ít hơn	less
nhận ra	realize
hàng trăm	hundred
có sẵn	available
thực vật	plant
có khả năng	likely
cơ hội	opportunity
kỳ hạn	term
ngắn	short
lá thư	letter
điều kiện	condition
lựa chọn	choice
địa điểm	place
Độc thân	single
qui định	rule
Con gái	daughter
quản trị	administration
miền Nam	south
người chồng	husband
Hội nghị	Congress
sàn nhà	floor
chiến dịch	campaign
vật chất	material
dân số	population
tốt	well
gọi	call
nên kinh tê	economy
Y khoa	medical
bệnh viện	hospital
nhà thờ	church
gần	close
nghìn	thousand
rủi ro	risk
hiện hành	current
ngọn lửa	fire
Tương lai	future
sai rồi	wrong
liên quan	involve
phòng thủ	defense
bất kỳ ai	anyone
tăng	increase
Bảo vệ	security
ngân hàng	bank
riêng tôi	myself
chắc chắn	certainly
hướng Tây	west
môn thể thao	sport
bảng	board
tìm kiếm	seek
mỗi	per
môn học	subject
nhân viên văn phòng	officer
riêng tư	private
nghỉ ngơi	rest
hành vi	behavior
thỏa thuận	deal
hiệu suất	performance
chiến đấu	fight
ném	throw
hàng đầu	top
Mau	quickly
quá khứ	past
mục tiêu	goal
thứ hai	second
Giường	bed
gọi món	order
tác giả	author
lấp đầy	fill
đại diện	represent
tiêu điểm	focus
ngoại quốc	foreign
rơi vãi	drop
kế hoạch	plan
máu	blood
trên	upon
đại lý	agency
đẩy	push
thiên nhiên	nature
màu	color
Không	no
gần đây	recently
cửa hàng	store
giảm	reduce
âm thanh	sound
chú thích	note
khỏe	fine
trước	before
ở gần	near
phong trào	movement
trang	page
đi vào	enter
chia sẻ	share
hơn	than
chung	common
nghèo nàn	poor
khác	other
tự nhiên	natural
cuộc đua	race
mối quan ngại	concern
loạt	series
có ý nghĩa	significant
giống	similar
nóng bức	hot
ngôn ngữ	language
mỗi	each
thông thường	usually
phản ứng	response
đã chết	dead
tăng lên	rise
thú vật	animal
hệ số	factor
thập kỷ	decade
bài báo	article
bắn	shoot
Đông	east
tiết kiệm	save
bảy	seven
họa sĩ	artist
xa	away
bối cảnh	scene
cổ phần	stock
nghề nghiệp	career
mặc dù	despite
Trung tâm	central
tám	eight
do đó	thus
điều trị	treatment
vượt ra ngoài	beyond
vui mừng	happy
chính xác	exactly
bảo vệ	protect
tiếp cận	approach
nói dối	lie
kích thước	size
chó	dog
quỹ	fund
nghiêm trọng	serious
xảy ra	occur
phương tiện truyền thông	media
sẳn sàng	ready
ký tên	sign
nghĩ	thought
danh sách	list
cá nhân	individual
đơn giản	simple
phẩm chất	quality
sức ép	pressure
Chấp nhận	accept
câu trả lời	answer
cứng	hard
tài nguyên	resource
nhận định	identify
trái	left
gặp gỡ	meeting
mục đích	determine
chuẩn bị	prepare
dịch bệnh	disease
bất cứ điều gì	whatever
sự thành công	success
tranh luận	argue
tách	cup
đặc biệt	particularly
số lượng	amount
có khả năng	ability
cán bộ	staff
nhìn nhận	recognize
biểu thị	indicate
tính cách	character
sự phát triển	growth
mất mát	loss
trình độ	degree
ngạc nhiên	wonder
tấn công	attack
cô ấy	herself
khu vực	region
tivi	television
cái hộp	box
TV	TV
đào tạo	training
đẹp	pretty
buôn bán	trade
thỏa thuận	deal
cuộc bầu cử	election
mọi người	everybody
vật lý	physical
đặt nằm	lay
chung	general
cảm giác	feeling
Tiêu chuẩn	standard
hóa đơn	bill
thông điệp	message
Thất bại	fail
ở ngoài	outside
đến nơi	arrive
phân tích	analysis
lợi ích	benefit
Tên	name
tình dục	sex
phía trước	forward
luật sư	lawyer
hiện tại	present
phần	section
môi trường	environmental
ly	glass
câu trả lời	answer
kỹ năng	skill
em gái	sister
PM	PM
Giáo sư	professor
hoạt động	operation
tài chính	financial
tội ác	crime
sân khấu	stage
được	ok
so sánh	compare
thẩm quyền	authority
bỏ lỡ	miss
thiết kế	design
sắp xếp	sort
một	one
hành động	act
mười	ten
hiểu biết	knowledge
súng	gun
ga tàu	station
màu xanh da trời	blue
tiểu bang	state
chiến lược	strategy
ít	little
thông suốt	clearly
bàn luận	discuss
thật	indeed
lực lượng	force
sự thật	truth
bài hát	song
thí dụ	example
dân chủ	democratic
kiểm tra	check
môi trường	environment
Chân	leg
tối	dark
công cộng	public
nhiều	various
hơn	rather
cười	laugh
phỏng đoán	guess
điều hành	executive
bộ	set
học	study
chứng minh	prove
treo	hang
toàn bộ	entire
đá	rock
thiết kế	design
đủ	enough
quên	forget
kể từ	since
yêu cầu	claim
chú thích	note
tẩy	remove
giám đốc	manager
Cứu giúp	help
gần	close
âm thanh	sound
thưởng thức	enjoy
mạng	network
hợp pháp	legal
Tôn giáo	religious
lạnh	cold
hình thức	form
sau cùng	final
chủ yếu	main
khoa học	science
màu xanh lá	green
ký ức	memory
Thẻ	card
ở trên	above
ghế	seat
tế bào	cell
thành lập	establish
tốt đẹp	nice
thử nghiệm	trial
chuyên gia	expert
cái đó	that
mùa xuân	spring
chắc chắn	firm
Dân chủ	Democrat
radio	radio
chuyến thăm	visit
sự quản lý	management
quan tâm	care
tránh	avoid
tưởng tượng	imagine
tối nay	tonight
khổng lồ	huge
trái bóng	ball
Không	no
gần	close
hoàn thành	finish
bản thân bạn	yourself
nói chuyện	talk
lý thuyết	theory
va chạm	impact
trả lời	respond
tuyên bố	statement
duy trì	maintain
sạc điện	charge
phổ biến	popular
truyên thông	traditional
trên	onto
tiết lộ	reveal
phương hướng	direction
vũ khí	weapon
Nhân viên	employee
văn hoá	cultural
chứa	contain
hòa bình	peace
cái đầu	head
điều khiển	control
căn cứ	base
đau đớn	pain
ứng dụng	apply
chơi	play
đo	measure
rộng	wide
lắc	shake
bay	fly
phỏng vấn	interview
quản lý	manage
cái ghế	chair
cá	fish
cụ thể	particular
Máy ảnh	camera
kết cấu	structure
chính trị	politics
biểu diễn	perform
bit	bit
cân nặng	weight
đột ngột	suddenly
khám phá	discover
ứng viên	candidate
hàng đầu	top
sản xuất	production
đãi	treat
chuyến đi	trip
tối	evening
có ảnh hưởng đến	affect
phía trong	inside
hội nghị	conference
đơn vị	unit
tốt	best
Phong cách	style
người lớn	adult
lo	worry
phạm vi	range
đề cập đến	mention
hơn	rather
xa	far
sâu	deep
quá khứ	past
cạnh	edge
cá nhân	individual
riêng	specific
nhà văn	writer
rắc rối	trouble
cần thiết	necessary
khắp	throughout
thử thách	challenge
nỗi sợ	fear
vai	shoulder
tổ chức	institution
ở giữa	middle
biển	sea
mơ tưởng	dream
quán ba	bar
đẹp	beautiful
bất động sản	property
thay thế	instead
cải tiến	improve
đồ đạc	stuff
chi tiết	detail
phương pháp	method
ký tên	sign
có ai	somebody
tạp chí	magazine
khách sạn	hotel
lính	soldier
phản chiếu	reflect
nặng	heavy
tình dục	sexual
nguyên nhân	cause
túi	bag
nhiệt	heat
ngã	fall
kết hôn	marriage
khó khăn	tough
hát	sing
bề mặt	surface
mục đích	purpose
hiện hữu	exist
mẫu	pattern
ai	whom
da	skin
đặc vụ	agent
chủ nhân	owner
máy móc	machine
khí đốt	gas
xuống	down
phía trước	ahead
thế hệ	generation
thương mại	commercial
địa chỉ nhà	address
ung thư	cancer
thử nghiệm	test
mục	item
thực tế	reality
huấn luyện viên	coach
bậc thang	step
Bà	Mrs
sân	yard
tiết tấu	beat
bạo lực	violence
toàn bộ	total
có xu hướng	tend
đầu tư	investment
thảo luận	discussion
ngón tay	finger
vườn	garden
để ý	notice
bộ sưu tập	collection
hiện đại	modern
bài tập	task
cộng sự	partner
tích cực	positive
dân sự	civil
phòng bếp	kitchen
khách hàng	consumer
bắn	shot
ngân sách	budget
muốn	wish
bức vẽ	painting
nhà khoa học	scientist
an toàn	safe
thỏa thuận	agreement
thủ đô	capital
miệng	mouth
cũng không	nor
nạn nhân	victim
báo chí	newspaper
thay thế	instead
mối đe dọa	threat
trách nhiệm	responsibility
nụ cười	smile
luật sư	attorney
ghi bàn	score
tài khoản	account
hấp dẫn	interesting
phá vỡ	break
thính giả	audience
giàu có	rich
bữa tối	dinner
nhân vật	figure
bỏ phiếu	vote
miền Tây	western
liên hệ	relate
du lịch	travel
tranh luận	debate
ngăn chặn	prevent
công dân	citizen
đa số	majority
không ai	none
trước mặt	front
sinh ra	born
thừa nhận	admit
cao cấp	senior
giả định	assume
gió	wind
Chìa khóa	key
chuyên nghiệp	professional
sứ mệnh	mission
Nhanh	fast
một mình	alone
khách hàng	customer
đau khổ	suffer
phát biểu	speech
thành công	successful
Tùy chọn	option
người tham gia	participant
phía Nam	southern
tươi	fresh
cuối cùng	eventually
Không	no
rừng	forest
video	video
toàn cầu	global
Thượng nghị viện	Senate
cải cách	reform
truy cập	access
nhà hàng	restaurant
thẩm phán	judge
công bố	publish
Giá cả	cost
quan hệ	relation
như	like
giải phóng	release
sở hữu	own
chim	bird
quan điểm	opinion
tín dụng	credit
chỉ trích	critical
góc	corner
liên quan	concerned
hồi tưởng	recall
phiên bản	version
nhìn chằm chằm	stare
an toàn	safety
có hiệu lực	effective
khu vực lân cận	neighborhood
nguyên	original
hành động	act
quân	troop
thu nhập	income
trực tiếp	directly
đau	hurt
loài	species
ngay	immediately
theo dõi	track
căn bản	basic
đình công	strike
mong	hope
bầu trời	sky
sự tự do	freedom
chắc chắn rồi	absolutely
máy bay	plane
không ai	nobody
Hoàn thành	achieve
vật	object
Thái độ	attitude
lao động	labor
tham khảo	refer
khái niệm	concept
khách hàng	client
quyền lực	powerful
hoàn hảo	perfect
chín	nine
vì thế	therefore
hạnh kiểm	conduct
tuyên bố	announce
cuộc hội thoại	conversation
xem xét	examine
chạm	touch
xin vui lòng	please
tham gia	attend
hoàn toàn	completely
bỏ phiếu	vote
đa dạng	variety
ngủ	sleep
xoay	turn
có tính liên quan	involved
cuộc điều tra	investigation
Nguyên tử	nuclear
nghiên cứu viên	researcher
nhấn	press
cuộc xung đột	conflict
tinh thần	spirit
kinh nghiệm	experience
thay thế	replace
người Anh	British
khuyến khích	encourage
tranh luận	argument
bởi	by
Một lần	once
trại	camp
óc	brain
đặc tính	feature
buổi chiều	afternoon
LÀ	AM
ngày cuối tuần	weekend
tá	dozen
khả năng	possibility
dọc theo	along
bảo hiểm	insurance
bộ phận	department
chiến đấu	battle
bắt đầu	beginning
ngày	date
nói chung là	generally
Châu Phi	African
rất	very
lấy làm tiếc	sorry
khủng hoảng	crisis
hoàn thành	complete
quạt	fan
gậy	stick
định nghĩa	define
dễ dàng	easily
xuyên qua	through
lỗ	hole
thành phần	element
tầm nhìn	vision
trạng thái	status
bình thường	normal
Trung Quốc	Chinese
tàu	ship
dung dịch	solution
Cục đá	stone
chậm rãi	slowly
tỉ lệ	scale
bit	bit
trường đại học	university
giới thiệu	introduce
người lái xe	driver
cố gắng	attempt
công viên	park
nơi	spot
thiếu sót	lack
Nước đá	ice
thuyền	boat
uống	drink
mặt trời	sun
trước mặt	front
khoảng cách	distance
gỗ	wood
xử lý	handle
xe tải	truck
trở về	return
núi	mountain
khảo sát	survey
giả định	supposed
truyền thống	tradition
mùa đông	winter
làng	village
Liên Xô	Soviet
từ chối	refuse
bán hàng	sales
cuộn	roll
giao tiếp	communication
chạy	run
màn	screen
thu được	gain
cư dân	resident
ẩn giấu	hide
vàng	gold
câu lạc bộ	club
Tương lai	future
nông trại	farm
tiềm năng	potential
tăng	increase
ở giữa	middle
Châu Âu	European
sự hiện diện	presence
độc lập	independent
huyện	district
hình dạng	shape
người đọc	reader
Cô	Ms
hợp đồng	contract
đám đông	crowd
Christian	Christian
bày tỏ	express
căn hộ	apartment
chung cư	apartment
sẵn lòng	willing
sức mạnh	strength
Trước	previous
ban nhạc	band
chắc chắn	obviously
con ngựa	horse
quan tâm	interested
Mục tiêu	target
nhà tù	prison
dap xe	ride
bảo vệ	guard
điều kiện	terms
nhu cầu	demand
phóng viên	reporter
giao hàng	deliver
bản văn	text
chia sẻ	share
dụng cụ	tool
hoang dã	wild
phương tiện	vehicle
quan sát	observe
chuyến bay	flight
phía trong	inside
cơ sở	facility
hiểu biết	understanding
Trung bình cộng	average
hiện ra	emerge
lợi thế	advantage
nhanh chóng	quick
ánh sáng	light
khả năng lãnh đạo	leadership
kiếm	earn
pao	pound
nền tảng	basis
sáng	bright
vận hành	operate
khách	guest
mẫu vật	sample
Góp phần	contribute
nhỏ bé	tiny
khối	block
sự bảo vệ	protection
ổn định	settle
nuôi	feed
sưu tầm	collect
bổ sung	additional
trong khi	while
cao	highly
danh tính	identity
chức vụ	title
chủ yếu	mostly
bài học	lesson
đức tin	faith
con sông	river
Quảng bá	promote
sống	living
hiện tại	present
đếm	count
trừ khi	unless
kết hôn	marry
Ngày mai	tomorrow
kỹ thuật	technique
con đường	path
tai	ear
cửa tiệm	shop
dân gian	folk
gọi món	order
nguyên tắc	principle
tồn tại	survive
thang máy	lift
biên giới	border
cuộc thi	competition
nhảy	jump
tụ họp	gather
giới hạn	limit
Phù hợp	fit
yêu cầu	claim
khóc	cry
Trang thiết bị	equipment
giá trị	worth
liên kết	associate
nhà phê bình	critic
ấm áp	warm
khía cạnh	aspect
kết quả	result
năn nỉ	insist
thất bại	failure
hàng năm	annual
người Pháp	French
Giáng Sinh	Christmas
bình luận	comment
chịu trách nhiệm	responsible
chuyện	affair
tiếp cận	approach
cho đến	until
thủ tục	procedure
đều đặn	regular
Lan tràn	spread
Chủ tịch	chairman
bóng chày	baseball
mềm mại	soft
bỏ qua	ignore
trứng	egg
đo	measure
niềm tin	belief
chứng minh	demonstrate
bất kỳ ai	anybody
giết người	murder
quà tặng	gift
tôn giáo	religion
ôn tập	review
người biên tập	editor
quá khứ	past
thuê	engage
cà phê	coffee
tài liệu	document
tốc độ	speed
vượt qua	cross
ảnh hưởng	influence
dù sao	anyway
hăm dọa	threaten
cam kết	commit
giống cái	female
thiếu niên	youth
làn sóng	wave
di chuyển	move
sợ	afraid
phần tư	quarter
lý lịch	background
tự nhiên	native
rộng lớn	broad
Tuyệt vời	wonderful
phủ nhận	deny
dường như	apparently
khinh bỉ	slightly
phản ứng	reaction
hai lần	twice
bộ đồ	suit
quan điểm	perspective
phát triển	growing
thổi	blow
xây dựng	construction
loại	kind
Sự thông minh	intelligence
hủy hoại	destroy
nấu ăn	cook
kết nối	connection
sạc điện	charge
đốt cháy	burn
giày	shoe
lượt xem	view
cấp	grade
bối cảnh	context
ủy ban	committee
Chào	hey
sai lầm	mistake
tiêu điểm	focus
nụ cười	smile
vị trí	location
quần áo	clothes
người Ấn Độ	Indian
Yên tĩnh	quiet
trang phục	dress
lời hứa	promise
ý thức	aware
hàng xóm	neighbor
hoàn thành	complete
lái xe	drive
chức năng	function
khúc xương	bone
đang hoạt động	active
mở rộng	extend
giám đốc	chief
Trung bình cộng	average
phối hợp	combine
rượu nho	wine
phía dưới	below
mát mẻ	cool
cử tri	voter
nghĩa là	means
nhu cầu	demand
học tập	learning
xe buýt	bus
Địa ngục	hell
nguy hiểm	dangerous
nhắc lại	remind
đạo đức	moral
United	United
thể loại	category
tương đối	relatively
chiến thắng	victory
Chìa khóa	key
học tập	academic
chuyến thăm	visit
Internet	Internet
khỏe mạnh	healthy
ngọn lửa	fire
tiêu cực	negative
tiếp theo	following
lịch sử	historical
dược phẩm	medicine
chuyến du lịch	tour
tùy theo	depend
hình chụp	photo
Phát hiện	finding
vồ lấy	grab
thẳng thắn	direct
phòng học	classroom
tiếp xúc	contact
Sự công bằng	justice
tham dự	participate
hằng ngày	daily
hội chợ	fair
đôi	pair
nổi danh	famous
tập thể dục	exercise
đầu gối	knee
hoa	flower
băng	tape
thuê mướn	hire
quen	familiar
thích hợp	appropriate
cung cấp	supply
đầy đủ	fully
cắt tỉa	cut
sẽ	will
diễn viên	actor
Sinh	birth
Tìm kiếm	search
cà vạt	tie
dân chủ	democracy
phương Đông	eastern
sơ cấp	primary
hôm qua	yesterday
vòng tròn	circle
thiết bị	device
tiến độ	progress
kế tiếp	next
trước mặt	front
đáy	bottom
Đảo	island
trao đổi	exchange
giao dịch	exchange
dọn dẹp	clean
studio	studio
xe lửa	train
quý bà	lady
đồng nghiệp	colleague
ứng dụng	application
cái cổ	neck
nạc	lean
hư hại	damage
nhựa	plastic
cao	tall
đĩa	plate
ghét bỏ	hate
nếu không thì	otherwise
viết	writing
nhấn	press
Nam giới	male
khởi đầu	start
sống sót	alive
biểu hiện	expression
bóng đá	football
dự định	intend
tấn công	attack
gà	chicken
quân đội	army
lạm dụng	abuse
rạp hát	theater
đóng lại	shut
bản đồ	map
thêm	extra
phiên họp	session
nguy hiểm	danger
chào mừng	welcome
trong nước	domestic
rất nhiều	lots
văn chương	literature
mưa	rain
khao khát	desire
thẩm định	assessment
đánh giá	assessment
chấn thương	injury
sự tôn trọng	respect
Phương bắc	northern
gật đầu	nod
Sơn	paint
nhiên liệu	fuel
lá	leaf
thẳng thắn	direct
khô	dry
Người Nga	Russian
chỉ dẫn	instruction
chiến đấu	fight
bơi	pool
leo	climb
ngọt	sweet
chì	lead
động cơ	engine
thứ tư	fourth
Muối	salt
mở rộng	expand
tầm quan trọng	importance
kim loại	metal
mập	fat
vé	ticket
phần mềm	software
biến mất	disappear
công ty	corporate
kỳ lạ	strange
môi	lip
đọc hiểu	reading
đô thị	urban
tâm thần	mental
ngày càng	increasingly
Bữa trưa	lunch
giáo dục	educational
một vài nơi	somewhere
nông phu	farmer
ở trên	above
đường	sugar
hành tinh	planet
yêu thích	favorite
khám phá	explore
đạt được	obtain
kẻ thù	enemy
vĩ đại nhất	greatest
phức tạp	complex
vây quanh	surround
lực sĩ	athlete
mời gọi	invite
nói lại	repeat
cẩn thận	carefully
Linh hồn	soul
thuộc về khoa học	scientific
Không thể nào	impossible
bảng điều khiển	panel
Ý nghĩa	meaning
mẹ	mom
cưới nhau	married
một mình	alone
dụng cụ	instrument
tiên đoán	predict
thời tiết	weather
tổng thống	presidential
đa cảm	emotional
cam kết	commitment
Tối cao	Supreme
chịu	bear
bỏ túi	pocket
gầy	thin
nhiệt độ	temperature
sự ngạc nhiên	surprise
thăm dò ý kiến	poll
đề nghị	proposal
hậu quả	consequence
một nửa	half
hơi thở	breath
thị giác	sight
che	cover
cân đối	balance
thông qua	adopt
thiểu số	minority
thẳng	straight
cố gắng	attempt
kết nối	connect
công trinh	works
giảng bài	teaching
thuộc về	belong
viện trợ	aid
khuyên bảo	advice
đuợc	okay
ảnh chụp	photograph
trống	empty
khu vực	regional
đường mòn	trail
cuốn tiểu thuyết	novel
mã	code
bằng cách nào đó	somehow
tổ chức	organize
ban bồi thẩm	jury
nhũ hoa	breast
Iraqi	Iraqi
Nhân loại	human
công nhận	acknowledge
chủ đề	theme
bão táp	storm
liên hiệp	union
ghi lại	record
bàn	desk
nỗi sợ	fear
